序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
24154,20:13:06.177,0x2632283,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 C2 75 BF E0 7A 54 BF 
24155,20:13:06.177,0x2632298,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 80 77 42 A4 70 ED 42 
24156,20:13:06.177,0x26322AD,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24157,20:13:06.177,0x26322C2,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 AE E7 42 
24158,20:13:06.237,0x2632541,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 66 0A 43 A4 F0 B1 42 
24159,20:13:06.237,0x2632557,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 D7 63 BF 40 0A 57 BF 
24160,20:13:06.268,0x263256C,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 DA 77 42 A4 70 ED 42 
24161,20:13:06.268,0x2632581,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24162,20:13:06.268,0x2632596,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
24163,20:13:06.328,0x2632815,ch1,接收,0x0120,数据帧,标准帧,0x08,x| CD 8C 0A 43 D7 23 B2 42 
24164,20:13:06.328,0x263282A,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 D7 63 BF 60 66 66 BF 
24165,20:13:06.328,0x263283F,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 5E 7B 42 A4 70 ED 42 
24166,20:13:06.328,0x2632854,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24167,20:13:06.328,0x2632869,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
24168,20:13:06.388,0x2632AE9,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 71 BD 0A 43 C3 75 B2 42 
24169,20:13:06.388,0x2632AFE,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 47 61 BF D0 A3 70 BF 
24170,20:13:06.388,0x2632B13,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 04 7B 42 A4 70 ED 42 
24171,20:13:06.388,0x2632B28,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24172,20:13:06.388,0x2632B3D,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
24173,20:13:06.478,0x2632DBC,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 14 EE 0A 43 8F C2 B2 42 
24174,20:13:06.478,0x2632DD1,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 99 59 BF 60 8F 82 BF 
24175,20:13:06.478,0x2632DE7,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 CC 76 42 A4 70 ED 42 
24176,20:13:06.478,0x2632DFC,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24177,20:13:06.478,0x2632E11,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 AE E7 42 
24178,20:13:06.538,0x2633090,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 26 0B 43 D7 23 B3 42 
24179,20:13:06.538,0x26330A5,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 8F 42 BF 20 85 8B BF 
24180,20:13:06.538,0x26330BA,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 04 7B 42 A4 70 ED 42 
24181,20:13:06.538,0x26330CF,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24182,20:13:06.538,0x26330E4,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 70 E9 42 
24183,20:13:06.598,0x2633364,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 71 7D 0B 43 33 B3 B3 42 
24184,20:13:06.598,0x2633379,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 AE 47 BF D0 CC 8C BF 
24185,20:13:06.628,0x263338E,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 50 7A 42 A4 70 ED 42 
24186,20:13:06.628,0x26333A3,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24187,20:13:06.628,0x26333B8,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 CA E9 42 
24188,20:13:06.688,0x2633637,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 52 F8 0B 43 1F 85 B4 42 
24189,20:13:06.688,0x263364C,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 14 6E BF 40 0A 97 BF 
24190,20:13:06.688,0x2633661,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 CC 76 42 A4 70 ED 42 
24191,20:13:06.688,0x2633677,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
