序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
18359,20:05:17.607,0x21BB8E5,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 60 66 B6 C0 5C 8F B4 C1 
18360,20:05:17.607,0x21BB8FB,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 48 73 42 00 80 ED 42 
18361,20:05:17.607,0x21BB910,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18362,20:05:17.607,0x21BB925,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 7E EA 42 
18363,20:05:17.667,0x21BBBA5,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 7B 94 09 43 EC 51 B8 42 
18364,20:05:17.667,0x21BBBBA,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 30 33 BB C0 AE 47 B5 C1 
18365,20:05:17.667,0x21BBBCF,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 2C 71 42 00 80 ED 42 
18366,20:05:17.667,0x21BBBE5,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18367,20:05:17.667,0x21BBBFA,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 7E EA 42 
18368,20:05:17.727,0x21BBE7A,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 0A 57 09 43 1F 05 B8 42 
18369,20:05:17.727,0x21BBE8F,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 90 C2 BD C0 7B 14 B6 C1 
18370,20:05:17.727,0x21BBEA4,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 10 6F 42 00 80 ED 42 
18371,20:05:17.757,0x21BBEB9,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18372,20:05:17.757,0x21BBECE,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 BC E8 42 
18373,20:05:17.817,0x21BC14E,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 52 F8 08 43 D7 A3 B7 42 
18374,20:05:17.817,0x21BC163,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D0 CC BC C0 14 AE B5 C1 
18375,20:05:17.817,0x21BC179,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 78 70 42 00 80 ED 42 
18376,20:05:17.817,0x21BC18E,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18377,20:05:17.817,0x21BC1A3,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 70 E9 42 
18378,20:05:17.877,0x21BC423,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 5C 8F 08 43 8F 42 B7 42 
18379,20:05:17.877,0x21BC438,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 50 B8 BE C0 14 AE B5 C1 
18380,20:05:17.877,0x21BC44D,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 70 69 42 00 80 ED 42 
18381,20:05:17.877,0x21BC462,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18382,20:05:17.877,0x21BC477,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 73 E6 42 
18383,20:05:17.967,0x21BC6F8,ch1,接收,0x0120,数据帧,标准帧,0x08,x| B8 1E 08 43 29 DC B6 42 
18384,20:05:17.967,0x21BC70D,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 00 C0 C0 85 EB B7 C1 
18385,20:05:17.967,0x21BC722,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 F4 6C 42 00 80 ED 42 
18386,20:05:17.967,0x21BC737,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18387,20:05:17.967,0x21BC74C,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 A0 E6 42 
18388,20:05:18.028,0x21BC9CC,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 71 BD 07 43 66 66 B6 42 
