序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
20787,="20:10:38.848",0x24CAEA0,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 24 EA 42 
20788,="20:10:38.908",0x24CB11F,ch1,接收,0x0120,数据帧,标准帧,0x08,x| CD 4C F6 42 9A 19 97 42 
20789,="20:10:38.908",0x24CB134,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D0 A3 F0 C0 14 AE 47 C0 
20790,="20:10:38.908",0x24CB149,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 8C 3E 42 C3 75 ED 42 
20791,="20:10:38.908",0x24CB15E,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20792,="20:10:38.938",0x24CB173,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 70 E9 42 
20793,="20:10:38.999",0x24CB3F2,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 85 EB F6 42 5C 8F 97 42 
20794,="20:10:38.999",0x24CB408,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 F5 E8 C0 14 AE 37 C0 
20795,="20:10:38.999",0x24CB41D,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 24 3D 42 C3 75 ED 42 
20796,="20:10:38.999",0x24CB432,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20797,="20:10:38.999",0x24CB447,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 16 E9 42 
20798,="20:10:39.058",0x24CB6C6,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 0A 57 F7 42 33 B3 97 42 
20799,="20:10:39.058",0x24CB6DB,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 00 E0 C0 3E 0A 37 C0 
20800,="20:10:39.058",0x24CB6F0,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 2C 44 42 C3 75 ED 42 
20801,="20:10:39.058",0x24CB706,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20802,="20:10:39.058",0x24CB71B,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 05 EB 42 
20803,="20:10:39.118",0x24CB99A,ch1,接收,0x0120,数据帧,标准帧,0x08,x| AE C7 F7 42 48 E1 97 42 
20804,="20:10:39.149",0x24CB9AF,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D0 A3 E0 C0 48 E1 2A C0 
20805,="20:10:39.149",0x24CB9C4,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 24 3D 42 C3 75 ED 42 
20806,="20:10:39.149",0x24CB9D9,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20807,="20:10:39.149",0x24CB9EE,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 DB E7 42 
20808,="20:10:39.208",0x24CBC6D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 0A D7 F7 42 66 E6 97 42 
20809,="20:10:39.208",0x24CBC83,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D0 CC DC C0 34 33 23 C0 
20810,="20:10:39.208",0x24CBC98,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 70 3C 42 C3 75 ED 42 
20811,="20:10:39.208",0x24CBCAD,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20812,="20:10:39.208",0x24CBCC2,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 27 E7 42 
20813,="20:10:39.267",0x24CBF41,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 85 EB F7 42 C3 F5 97 42 
20814,="20:10:39.267",0x24CBF56,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F0 51 D8 C0 28 5C 1F C0 
20815,="20:10:39.297",0x24CBF6B,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 02 41 42 C3 75 ED 42 
20816,="20:10:39.297",0x24CBF80,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20817,="20:10:39.297",0x24CBF96,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 35 E8 42 
20818,="20:10:39.357",0x24CC215,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 9A 19 F8 42 7B 14 98 42 
20819,="20:10:39.357",0x24CC22A,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 AE D7 C0 70 3D 1A C0 
20820,="20:10:39.357",0x24CC23F,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 70 3C 42 C3 75 ED 42 
20821,="20:10:39.357",0x24CC254,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20822,="20:10:39.357",0x24CC269,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 AE E7 42 
20823,="20:10:39.417",0x24CC4E9,ch1,接收,0x0120,数据帧,标准帧,0x08,x| B8 1E F8 42 7B 14 98 42 
20824,="20:10:39.417",0x24CC4FE,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 90 C2 D5 C0 C2 F5 08 C0 
20825,="20:10:39.417",0x24CC513,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 62 3B 42 C3 75 ED 42 
20826,="20:10:39.417",0x24CC528,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20827,="20:10:39.417",0x24CC53D,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 46 E6 42 
20828,="20:10:39.507",0x24CC7BC,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 9A 19 F8 42 9A 19 98 42 
20829,="20:10:39.507",0x24CC7D1,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 E1 CA C0 E8 51 F8 BF 
20830,="20:10:39.507",0x24CC7E6,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 02 41 42 C3 75 ED 42 
20831,="20:10:39.507",0x24CC7FC,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20832,="20:10:39.507",0x24CC811,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 51 EA 42 
20833,="20:10:39.567",0x24CCA90,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F 85 F8 42 85 6B 98 42 
20834,="20:10:39.567",0x24CCAA5,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 14 BE C0 B8 1E E5 BF 
20835,="20:10:39.567",0x24CCABA,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 1E 43 42 C3 75 ED 42 
20836,="20:10:39.567",0x24CCACF,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20837,="20:10:39.567",0x24CCAE4,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 24 EA 42 
20838,="20:10:39.627",0x24CCD63,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 7B 94 F9 42 AE 47 99 42 
20839,="20:10:39.657",0x24CCD79,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 00 C0 C0 20 85 CB BF 
20840,="20:10:39.657",0x24CCD8E,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 BC 3B 42 C3 75 ED 42 
20841,="20:10:39.657",0x24CCDA3,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20842,="20:10:39.657",0x24CCDB8,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 AE E7 42 
20843,="20:10:39.717",0x24CD037,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 00 00 FB 42 7B 94 9A 42 
20844,="20:10:39.717",0x24CD04C,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 E1 CA C0 F8 28 BC BF 
20845,="20:10:39.717",0x24CD061,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 02 41 42 C3 75 ED 42 
20846,="20:10:39.717",0x24CD077,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20847,="20:10:39.717",0x24CD08C,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 70 E9 42 
20848,="20:10:39.777",0x24CD30B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| CD CC FB 42 8F 42 9B 42 
20849,="20:10:39.777",0x24CD320,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F0 28 CC C0 28 5C 8F BF 
20850,="20:10:39.777",0x24CD335,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 78 43 42 C3 75 ED 42 
20851,="20:10:39.777",0x24CD34A,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20852,="20:10:39.808",0x24CD35F,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 E9 E8 42 
20853,="20:10:39.868",0x24CD5DF,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 00 00 FC 42 85 6B 9B 42 
20854,="20:10:39.868",0x24CD5F4,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 1E C5 C0 30 5C 0F BF 
20855,="20:10:39.868",0x24CD609,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 32 3E 42 C3 75 ED 42 
20856,="20:10:39.868",0x24CD61E,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20857,="20:10:39.868",0x24CD633,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 35 E8 42 
20858,="20:10:39.927",0x24CD8B2,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 52 38 FC 42 B8 9E 9B 42 
20859,="20:10:39.927",0x24CD8C7,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F0 51 C0 C0 C0 CC CC BE 
20860,="20:10:39.927",0x24CD8DC,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 7E 3D 42 C3 75 ED 42 
20861,="20:10:39.927",0x24CD8F2,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20862,="20:10:39.927",0x24CD907,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 27 E7 42 
20863,="20:10:40.017",0x24CDB86,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 14 2E FC 42 9A 99 9B 42 
20864,="20:10:40.017",0x24CDB9B,ch1,接收,0x0121,数据帧,标准帧,0x08,x| A0 70 C5 C0 00 29 DC BE 
20865,="20:10:40.017",0x24CDBB0,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 48 46 42 C3 75 ED 42 
20866,="20:10:40.017",0x24CDBC5,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20867,="20:10:40.017",0x24CDBDA,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 32 EB 42 
20868,="20:10:40.078",0x24CDE5A,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 33 B3 FB 42 14 2E 9B 42 
20869,="20:10:40.078",0x24CDE6F,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 90 C2 CD C0 C0 CC CC BE 
20870,="20:10:40.078",0x24CDE84,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 16 3C 42 C3 75 ED 42 
20871,="20:10:40.078",0x24CDE99,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20872,="20:10:40.078",0x24CDEAE,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 16 E9 42 
20873,="20:10:40.137",0x24CE12D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 33 B3 FB 42 71 3D 9B 42 
20874,="20:10:40.137",0x24CE142,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 E1 CA C0 20 5C 8F BE 
20875,="20:10:40.137",0x24CE157,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 10 42 42 C3 75 ED 42 
20876,="20:10:40.168",0x24CE16D,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20877,="20:10:40.168",0x24CE182,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 51 EA 42 
20878,="20:10:40.228",0x24CE401,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 8F 42 FC 42 52 B8 9B 42 
20879,="20:10:40.228",0x24CE416,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 E1 C2 C0 40 8F 42 BE 
20880,="20:10:40.228",0x24CE42B,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 70 3C 42 C3 75 ED 42 
20881,="20:10:40.228",0x24CE440,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20882,="20:10:40.228",0x24CE455,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 81 E7 42 
20883,="20:10:40.288",0x24CE6D4,ch1,接收,0x0120,数据帧,标准帧,0x08,x| A4 F0 FC 42 52 38 9C 42 
20884,="20:10:40.288",0x24CE6EA,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 30 33 C3 C0 00 5C 8F BD 
20885,="20:10:40.288",0x24CE6FF,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 EE 45 42 C3 75 ED 42 
